Name,Subject,Description,Tags,Assign,Priority,Update Field,Last Order,HTTP Target,Close,Available To - Brands,Available To - Agents,Created By
"SOCIAL MEDIA: Square Footage","","Different devices provide coverage for varying amounts of square footage. The maximum coverage area for each model is listed on our website under each product description.
For quick reference:
Scent Diffuser Mini / Mini 2 / Mini 2 LE – up to 500 sq. ft.

Scent Diffuser Air 2 – up to 1,000 sq. ft.

Scent Diffuser Pro 2 – up to 2,000 sq. ft.

HVAC System – up to 5,000 sq. ft.","","","","","","","","All Brands","Everyone","System"
"ORDER ISSUE : Mystery Gift Not Received: Reship or Refund","","Hi ​​%First Name%​​,

Thank you for reaching out to us regarding your mystery gift order. We are sorry to hear that you have not received your order and we understand your frustration.

After investigating the matter, we have found that the mystery gift was not shipped. We sincerely apologize for the inconvenience caused to you due to this issue. As a valued customer, we would like to offer you the option to either have the mystery gift reshipped or to receive a full refund.

If you choose to have the mystery gift reshipped, we will make sure it is shipped out to you as soon as possible, at no additional cost. Alternatively, if you prefer a refund instead, we will issue it. Your refund should be processed within 24-72 business hours.

Please let us know your preference, and we will take care of it for you. If you have any further questions or concerns, please do not hesitate to contact us.

Thank you for bringing this issue to our attention, and we hope to resolve this matter to your satisfaction.

Sincerely,

​​%Agent First Name%​​","replacement-order","","","","","","","All Brands","Everyone","System"
"ORDER ISSUE : Can't Cancel/Change Already Shipped: Return Request","","Hi %First Name%,

Thank you for reaching us and we are so sorry that you wish to cancel the order.

Orders are imported directly to our fulfillment facility upon receipt. Unfortunately, it looks like your order has already processed or shipped from our warehouse. Therefore, I am unable to make any changes to it at this time.

We're happy to offer returns up to 14 days from the date of delivery. Once the package arrives, if you do opt to arrange a return, please click here: https://orders.scentiment.com/You can review our policy in full here: https://www.scentiment.com/pages/faqs.

If you have any other questions please don't hesitate to reach out. You can also access our Help Center here: Scentiment Help Center if you need additional assistance.

Sincerely,%Agent First Name%Scentiment Customer Support","order-cancellation-request","","","","","","","All Brands","Everyone","System"
"SOCIAL MEDIA: Contact Us","","We'd love to help resolve this for you. Please send us a message to support@scentiment.com. We'll get back to you within 24 - 48 hours.

Thank you.Regards,Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"INTERNAL: Working with customer in another email","","Working with customer in another email","","","","","","","","All Brands","Everyone","System"
"ORDER ISSUE: OOS Outreach","URGENT: Your Scentiment Order","Dear ​​%First Name%​​,

I hope this message finds you well. We wanted to provide you with an update regarding your recent order ​%Order Name%​ for the  XXXXX. Unfortunately, the specific variant of the room spray/oil/candle you ordered is currently out of stock, and we do not have an exact timeline for when it will become available at the moment. We understand how frustrating this can be, and we sincerely apologize for any inconvenience it may have caused you.

To minimize any further delay, we would like to ask if we can switch it with another variant that we have ample stock of, which we can ship to you immediately if you are interested. If you are open to this alternative option, please let us know at your earliest convenience by replying to this email or contacting our phone support team at +1323-310-1000, Monday to Friday from 9:00 AM to 5:00 PM EST. We will prioritize shipping your order.

However, if you prefer not to proceed with this alternative option and would like to cancel your order instead, we completely understand. Your satisfaction is our top priority, and we are happy to accommodate your request for a full refund. Please inform us of your decision, and we will process the refund as soon as possible.

Once again, we apologize for any inconvenience this delay may have caused you, and we appreciate your understanding and patience during this time. If you have any questions or require further assistance, please do not hesitate to reach out to us.

Thank you for choosing Scentiment, and we look forward to resolving this matter to your satisfaction.

Sincerely,

​​%Agent First Name%​​

Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"GENERAL: Free Shipping Offer","","Hello ​​%First Name%​​,

Thank you for reaching out! 

We're happy to offer free shipping for all orders of $200 or more. The total must be at or above the $200 threshold after any discounts are applied and before tax and shipping. 

Please let us know if you have any other questions. We're always happy to help! 

Regards,

​​%Agent First Name%​​

Scentiment Customer Support","promotions-inquiry","","","","","","","All Brands","Everyone","System"
"ORDERS: Issues Ordering On Site","","Hi there,

Thank you for reaching out! I'm so sorry to hear you are having an issue ordering. 

Can you let me know a bit about your issue?  

Can you try your purchase from another browser? If on a mobile device, can you try from a computer?

Let me know how it goes!

Regards,

​​%Agent First Name%​​ 

Scentiment Support Team","","","","","","","","All Brands","Everyone","System"
"GENERIC: Closing - You're Welcome","","You're very welcome! 

It was my pleasure to assist you today. 

Regards,

​​%Agent First Name%​​

Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"ORDER INQUIRY: Doesn't want a subscription","","Hello %First Name%,
Thank you for your interest in Scentiment.

We do offer an option to purchase fragrance oils without a subscription. To do this, simply toggle off the subscription option before adding your selected items to the cart.

Please note that this option applies when purchasing diffusers and fragrance oils separately. For Diffuser Starter Kits, the subscription feature cannot be removed at checkout. However, subscriptions can be cancelled at any time, with no long-term commitment.

As an added benefit, keeping an active subscription extends the diffuser warranty to 24 months, giving you extra coverage and peace of mind.

I hope this helps! Please don’t hesitate to reach out if you need any further assistance.

Best Regards,%Agent First Name%","","","","","","","","All Brands","Everyone","System"
"(MANAGER ONLY) Outreach: Chargeback, Order Shipped","Scentiment Order On The Way!","Hello %First Name%,

Scentiment Customer Support Team here! We just wanted to reach out and let you know your order %Order Name% has now shipped.

You can track your package right to your door here: %Order Tracking URL%

Please let us know if you need any additional assistance, we're always happy to help!","chargeback-inprocess","","","","","","","All Brands","Everyone","System"
"SUBSCRIPTION: (Didn't know they had subscription): No Refund","","Hello %First Name%,

Thank you for reaching out. I’m sorry for any confusion regarding your recent order.

After reviewing your account, it shows that the auto-subscription option was selected during checkout when you ordered the (INSERT PRODUCT NAME). This option provides a 10% discount and automatically schedules a new order every 30 days (or the interval you chose). Because this option was selected at checkout, the subscription was automatically created on your account.

For your reference, here is a copy of your invoice:
(INSERT INVOICE LINK)

Since it seems this was not your intention, I have gone ahead and canceled the subscription for you. We completely understand that mistakes can happen, and we’re here to help.

Please note the following regarding subscription orders:
Subscription Orders Once a subscription order has been processed, it cannot be canceled. Subscription items are also not eligible for refunds. However, if your request is submitted within 14 days of delivery, we’ll be happy to issue a gift card for the value of the item. Please refer to our Order Cancellation Policy and Refund Policy for more details.
As your order has already been processed, the subscription has been canceled to prevent future charges, but we are unable to process refunds for unfulfilled subscription orders in accordance with our policy.

If you need any further assistance or have additional questions, please feel free to let us know. Thank you!

Regards,%Agent First Name%Scentiment Customer Support","refund-subscription-order","","","","","","","All Brands","Everyone","System"
"ORDERS: Tracking Request","","Hello %First Name%,

Thanks for reaching out!

Your order has shipped and I've included the information below so you can track it right to your door.

Order Number: %Order Name%Please see your order tracking here: %Order Tracking URL%

Please let me know if you need any additional assistance, I'm always happy to help! You can access our Scentiment Help Center if you need additional assistance.

Sincerely, %Agent First Name%Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"ORDERS: Change Address (Need Address)","","Hello ​​%First Name%​​,

Thank you for reaching out!  I am happy to help with an address update. 

Can you please confirm the correct full and complete shipping address?

Looking forward to hearing back! 

Regards,

​​%Agent First Name%​​

Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"Retention - Complimentary Oil Offer (Above $200)","","Hello ​​%First Name%​​,

We're so sorry to hear you'd like to cancel! We'd love to keep you as a customer because we know you'll love your products once they are received. 

To keep your order, we'd like to offer you a free fragrance oil of your choice, a $40 value, OR we can offer  store credit in the amount of $40, which can be used on a future order. 

Would that work for you? And if so, which option would you prefer? If you'd like the complimentary fragrance oil, which scent would you like shipped to you?

Looking forward to hearing back!","","","","","","","","All Brands","Everyone","System"
"(MANAGER ONLY) Outreach: Missing/Incorrect Items - Reshipped","","Hello %First Name%,

We're so sorry to see you received an incorrect item in your order. I have already arranged a reshipment for the correct item(s). You should receive an email shortly with your new order details, and another with tracking once the order ships.
In the meantime, please let me know if you need any additional assistance. You can also access our Help Center here: Scentiment Help Center  if you need additional assistance. Thank you!

Sincerely,%Agent First Name%Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"(RETURNS ADMINS ONLY): Refund Accepted","","Hello %First Name%,

Thank for getting back to me so quickly.

I have processed your refund and it should post within 3-5 business days, depending on your bank's processing timeframe. You'll receive an email with your refund details as well. Reimbursement of funds will be allocated back to the original form of payment used for purchase.

Let me know if you need any additional assistance. You can also access our Help Center here: Scentiment Help Center if you need additional assistance.

All the Best,%Agent First Name%Scentiment Customer Support","refund-order-adjustment","","","","","","","All Brands","Everyone","System"
"(RETURNS ADMINS ONLY): Gift Card Offer for Returns","Refund or Gift Card of Your Choice!","Dear %First Name%,

Thank you for returning your recent order! We're excited to offer you an exclusive opportunity to upgrade your return experience. Instead of a standard refund, we'd like to present you with a gift card worth 135% of your original order amount! This gift card never expires, giving you the freedom to redeem it at your convenience. Plus, you can use it towards any future purchase, unlocking even more value for your money.
By choosing the gift card option, you'll enjoy:

Added value of 35% on top of your original order amount

No expiration date, so you can redeem it at your leisure

Flexibility to use it towards any future purchase

If this enhanced offer appeals to you, simply let us know, and we'll promptly process the gift card. Of course, if you still prefer a refund to your original payment method, we're happy to accommodate that as well.

We look forward to your response and the opportunity to serve you better in the future!

Best regards,%Agent First Name%","gift-card","","","","","","","All Brands","Everyone","System"
"(RETURNS ADMINS ONLY): Return/Refund Notification","Scentiment Return Update","Dear %First Name%

I hope this email finds you well. I am writing to provide you with an update regarding your recently returned order %Order Name%

I am pleased to inform you that we have successfully located your packages.

I understand the inconvenience this delay may have caused, and I want to extend my sincerest apologies for any frustration or inconvenience you may have experienced as a result.

Rest assured, your refund is currently being processed, and you can expect it to be submitted within the next 24 hours.

We are committed to ensuring that our customers receive the best service possible, and we appreciate your patience and understanding in this matter.

If you have any further questions or concerns, please do not hesitate to reach out to us at support@scentiment.com.

Best regards,%Agent First Name%Returns Specialist","refund-order-adjustment","","","","","","","All Brands","Everyone","System"
"(RETURNS ADMINS ONLY): Used items","Returned Items Update","Dear %First Name%

Thank you for your recent return. We appreciate your business and are committed to providing the best possible service.

After reviewing the items you returned, we noticed that the oils were used/opened. As stated in our Return & Exchange Policy, we can only accept returns of unused items in their original packaging. Unfortunately, we are unable to keep opened oils due to health and safety regulations. These used oils will be returned to you.

Regarding diffusers, please note that while we do accept returns within 14 days, the diffuser must be unused, in its original packaging, and include all original parts and accessories to qualify for a refund. If a diffuser is returned used but within the 14-day window, we provide a gift card for the value of the diffuser instead of a refund.

If you have any questions or need assistance with your return, please don't hesitate to reach out to us at support@scentiment.com. Your items have been repackaged and will be reshipped within 24 hours.

SS Order: ( X X X X X ) We truly value your understanding and are here to help with any concerns.

Warm regards,%Agent First Name%Returns SpecialistScentiment Customer Supportsupport@scentiment.com","return-defective","","","","","","","All Brands","Everyone","System"
"(RETURNS ADMINS ONLY): Wrong Returned Item","Scentiment Return Notification - Wrong Item","Dear %First Name%,

I hope this message finds you well.

I wanted to provide you with an update regarding the return process for order %Order Name%. Upon receiving the return package at our warehouse, we discovered that it contained a different item than what was originally ordered.
To ensure a swift resolution, we have resealed the package and arranged for it to be sent back to you. You can expect it to be shipped within the next 24 hours on business days.

Thank you for your cooperation in this matter. If you have any questions or concerns, please feel free to reach out to us.

Best regards,%Agent First Name%Returns SpecialistScentiment.com","","","","","","","","All Brands","Everyone","System"
"SOCIAL MEDIA: Order Processing Time","","Great question! Processing is currently taking between 3 - 5 business days.","","","","","","","","All Brands","Everyone","System"
"ORDER ISSUE : Order Delay: All Diffusers","","Hello ​​%First Name%​​,

Thank you so much for your Scentiment order! 

We're so excited for you to receive your order. Unfortunately, we are slightly backlogged due to a recent surge in demand. I'm so sorry for the delay, and any inconvenience this may cause you. 

That being said, we are expecting to ship your order between (INSERT DATE), although it may certainly be sooner.

We truly appreciate your patience and understanding while we work through this backlog, and do not anticipate this will happen with future orders. 

We appreciate your patience. Please let me know if you need any additional assistance, I'm always happy to help. 

Sincerely, 

​​%Agent First Name%​​

Scentiment Customer Support","refund-shipping-delay","","","","","","","All Brands","Everyone","System"
"SALE: BOGO Customer only added 1 item to Cart","","Hello %First Name%,

Thank you for reaching out regarding your recent order.

Upon reviewing your concern, we found that the Buy One, Get One Free (BOGO) promotion required customers to add two items to their cart at checkout for the offer to apply. This detail was clearly indicated in the promotional ad, which we've attached for your reference.

It appears that only one item was added to your cart during checkout, which is why the BOGO did not apply. However, as a gesture of goodwill, we've processed an order for the additional diffuser and will ship it to you shortly.

We apologize for any confusion and appreciate your understanding. If you have any further questions, feel free to reach out.

Best Regards,%Agent First Name%Scentiment Customer Support","promotions-inquiry","","","","","","","All Brands","Everyone","System"
"TROUBLESHOOTING: Scentiment App: Troubleshooting WI-FI Connection for Diffuser Mini 2","","Hi %First Name%I'm sorry to hear you're having trouble connecting your Diffuser Mini 2 to the Scentiment app. Let's go through some quick troubleshooting steps to get you back up and running:

1. Remove the Device from the App
- Open the Scentiment app.
- Navigate to ""My Devices.""
- Select your diffuser and remove it from the app. 
2. Reset the Diffuser
- Power off the device.
- Press and hold the power button for 5-6 seconds (or until you see a pulsing blue light). 
3. Reconnect the Device
- Open the Scentiment app.
- Go to My Devices and tap the “+” icon in the top right corner.
- Select Find Devices and reconnect your diffuser. 
This process performs a factory reset, allowing you to send commands to your diffuser through the app again. If you're still experiencing issues, please let us know—we're happy to assist further!

Best, %Agent First Name%Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"[ADMIN ONLY]: Outreach: Invalid Address","URGENT: Action Required | Scentiment Order | Address issue","Hello %First Name%,
Thanks so much for ordering with us!

We're excited to get your order out to you! Unfortunately, the address you provided is giving us an ""invalid"" error when trying to create a shipping label. Can you have a look at the address below and correct it as needed?
%Order Shipping Address Line 1% %Order Shipping Address Line 2%, %Order Shipping Postcode% %Order Shipping City% %Order Shipping State/Province%

If you have a house or apartment number, make sure we have the city, state, and zip code correct.
Thank you in advance!

All the best, %Agent First Name%Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"TUTORIALS - Set up- Standard diffuser : How to set up video","","Hello %First Name%,

I am happy to help with setting up your new Scentiment Scent Diffuser.

We have a great video to get you going and show you how to properly set up the device. Please review the video here and let me know if you have any questions I can help with.

Thank you so much!

Regards,%Agent First Name%Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"ACCOUNT: Sent Account Activation Email","","Hello ​​%First Name%​​,

Thank you for reaching out! I am happy to help with this. 

It looks like you have an account, but it has not yet been set up/activated. I have sent an email to ​%Customer Email%​ to help get your account activated for use.

Let me know if you need any additional assistance! 

Regards,

​​%Agent First Name%​​

Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"DIFFUSERS: Battery Life – Scent Diffuser Mini 2","","Hi %First Name%,

Thanks for reaching out! Here’s how long your Scent Diffuser Mini 2 should run without being plugged in, depending on the misting setting:

Low setting: ~12 hours

Medium setting: ~10 hours

High setting: ~8 hours

To get the best performance and battery life, we recommend connecting your diffuser to the Scentiment App and making sure the latest firmware update is installed. This helps optimize how the diffuser functions, especially in wireless mode.

Please see the links below:

Android: https://play.google.com/store/apps/details?id=com.scentiment.app&pli=1
IOS: https://apps.apple.com/ph/app/scentiment/id6478093653

Also, please note that the diffuser is designed to automatically shut off after 4 hours of continuous use to help preserve the motor.

If you have any questions or need help connecting to the app, we're happy to assist.

Best Regards,
%Agent First Name%
Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"DIFFUSERS: Battery Operated","","Hello %First Name%

Thank you for reaching out! Our rechargeable diffusers include: • Scent Diffuser Mini
• Diffuser Mini 2
• Diffuser Mini 2 LE
• Diffuser Air 2
• Car Diffuser

Please note that our other diffusers are designed for continuous use with an electric plug-in unit.

If you’d like, we can help you choose the best option based on your space or scenting preferences!

Best Regards,%Agent First Name%Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"DISCOUNTS: Discount Code Applied To Order","","Hello ​​%First Name%​​,

Thank you for confirming! 

The code  has now been applied to your order ​%Order Name%​, and a refund request has been created. It should be processed within 24 to 72 business hours. Once the refund is released, please allow 3-5 business days for you to receive the funds back depending on your bank's processing timeframe. You'll receive an email with your refund details as well. 

Reimbursement of funds will be allocated back to the original form of payment used for purchase.

Let me know if you need any additional assistance, I'm happy to help! 

Regards,

​​%Agent First Name%​​

Scentiment Customer Support","promotions-inquiry","","","","","","","All Brands","Everyone","System"
"DISCOUNTS: Discount Code Request","","Hello ​​%First Name%​​,

Thank you for reaching out! Please use the code SCENT15 for 15% off your purchase with us. 

This will be valid for any one-time purchase only. Subscription items are not eligible. 

Best Regards,

​​%Agent First Name%​​

Scentiment Customer Support","promotions-inquiry","","","","","","","All Brands","Everyone","System"
"TUTORIALS: Set up - Mini Scent Diffuser: Setting Up Mini Diffuser - Step by step & video","","Hello %First Name%,
Thank you for reaching out! I am happy to help get your Scent Diffuser Mini set up! You can watch the detailed video here or follow the step-by-step procedure below. 
Step 1: Touch Screen Display
You'll use the display screen to control the mist timer settings and device timer settings.
By default, the Mini works continuously for 4 hours and then turns off automatically. However, you have the flexibility to shut it off after a shorter amount of time between 1 to 3 hours. It offers three timer options to control the mist frequency. First one being 120 seconds of misting following a 60-second pause, the 2nd being the 60-second misting, followed by a 2-minute pause. Lastly, a 15-second misting, followed by a 2 and a half minute pause.

Step 2: Removing the Bottle
In order to pour your fragrance, you must first access the fragrance bottle inside the Mini. In order to do so, you’re going to reach under the bottom of the diffuser and find an opening where you’re able to push up the bottom of the bottle until the motor lid pops up. Pull the lid up away from the diffuser and unscrew the bottle from it.
Step 3: Filling the Bottle
Unscrew the empty oil bottle and fill it with the desired Scentiment fragrance oil.
Ensure that the filled bottle is securely and correctly installed back in to the nozzle.

Step 4: Reinstalling the Nozzle
It’s very important to align the arrow indicators on the nozzle and the diffuser together before pushing it back, otherwise you won’t be able to open it again and may cause damage to the device.

Step 5: Important Notes and Features
In order to power the device on / off you will need to press and hold the power button for 2 seconds each time.
You can switch between the misting frequency by pressing the power button once for each of the three options: 15 seconds, 60 seconds or 120 seconds.
Press and show settings switching between 15s, 60s and 120s.
Hold the timer button for 2 seconds to switch between the three timer settings with three options (1h, 2h, 3h).
This device has a memory function that retains the chosen settings even when the device is turned off and back on.

Please let us know if you have any other questions!

Regards,%Agent First Name%Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"DISCOUNTS: Valid For Non-Subscription Items Only","","Hello %First Name%,

Thank you so much for reaching out!

Just a quick note, discount codes apply only to one-time purchases. Subscription or renewable items aren't eligible for additional discounts since they already come with built-in savings.

I completely understand how that could be confusing and truly appreciate your understanding. If you have any other questions or need help adjusting your order, I'm happy to assist!

Regards,%Agent First Name%  Scentiment Customer Support","promotions-inquiry","","","","","","","All Brands","Everyone","System"
"GENERIC: Follow Up Reach out","","Hi ​​%First Name%​​

I am just following up on my earlier email. We would need to know how you wish to proceed with your order, particularly with this unfulfilled item in your order. 

Looking forward to being of assistance to you. 

All the best, 

​​%Agent First Name%​​

Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"GENERIC: Closing","","Hi ​​%First Name%​​

Please let me know if you need any additional assistance, I'm always happy to help! 

All the Best,

​​%Agent First Name%​​","","","","","","","","All Brands","Everyone","System"
"INTERNAL: No Response Needed","","No response needed.","","","","","","","","All Brands","Everyone","System"
"PRODUCT INQUIRY : Can I Use My Own Oils ?","","Hello ​​%First Name%​​,

I hope you're enjoying your Scentiment diffuser! We wanted to share some important information to help you get the best experience possible.

Our diffusers are uniquely designed to work perfectly with Scentiment fragrance oils. These oils have been carefully crafted with just the right consistency to ensure they diffuse beautifully without damaging the diffuser's internal parts. Because of this, we recommend using Scentiment oils exclusively with our diffusers.

We're excited for you to continue enjoying the delightful scents and hope this helps you make the most of your Scentiment products.

Let me know if you have any other questions!

Warm Regards,

​​%Agent First Name%​​

Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"DISPUTES: Chargeback In Progress","","Hi %First Name%,

Thank you for reaching out! We completely understand how important this is to you, and we want to ensure you have all the details regarding your chargeback for %Order Name%.

Since a chargeback has been submitted, your bank has taken over the review process. These investigations typically take 75 to 120 business days, as your bank carefully evaluates the case before making a final decision.

Unfortunately, we cannot process refunds or replacements directly, as your bank now controls the outcome. However, if you’re open to canceling the chargeback, we can certainly step in and explore solutions together—whether that means a refund, store credit, or replacement. We want to make things right and meet you halfway!

Please let us know how you’d like to move forward, and we’ll do our best to take care of you right away. Looking forward to hearing your thoughts so we can find the best possible outcome for you!

Sincerely
%Agent First Name%
Scentiment Customer Support","chargeback-inprocess","","","","","","","All Brands","Everyone","System"
"ORDER ISSUE: Delivered, Not Received - NO PROTECT+ - 2ND RESPONSE","","Hello %First Name%,

Thank you for your patience while I worked on this for you.
We have created a replacement order for you for the missing package. Your new order number is XXXX. You should receive an email with the new order details shortly, and another with tracking once the order ships.
In the meantime, please let me know if you need any additional assistance. You can also access our Scentiment Help Center if you need additional assistance. Thank you.

Sincerely,%Agent First Name%Scentiment Customer Support","refund-lost-in-transit","","","","","","","All Brands","Everyone","System"
"ORDER ISSUE: Holiday Shipping Delay","","Hello %First Name%

Unfortunately, due to circumstances beyond our control, there were unexpected delays in receiving stock from our manufacturer, which impacted the timely shipment of your order.

We understand how important it is to receive your orders on time, especially during this busy and festive time of year, and we deeply regret the inconvenience this situation has caused. Additionally, the surge in customer inquiries during this period has resulted in delays in responding to some of your messages, which is certainly not the level of service we strive to provide.

As a token of our appreciation for your patience, I have added a complimentary XX ml bottle of fragrance oil to your order.[Please add an offer depending on the order amount listed below.]$0 - $50 offer a 30% immediate discount on the order$50-$100 - offer 2 x 20ml oils for free$100 - $250 - offer 2 x 50ml oils free

Please rest assured that we have resolved the underlying issue and are diligently working to catch up on all delayed shipments. We expect to have all pending orders shipped within the next 5 business days. Our team is committed to ensuring you receive your products as quickly as possible and providing the excellent service you deserve.

We greatly appreciate your patience, understanding, and continued trust in Scentiment. Your satisfaction is our top priority, and we are taking every step to prevent similar delays in the future.

Sincerely,%Agent First Name%Scentiment Customer Support","refund-shipping-delay","","","","","","","All Brands","Everyone","System"
"ORDER ISSUE: Not shipped: still in processing window","","Hello %First Name%,

Thank you for reaching out! Your order %Order Name% has been received and we are working on getting it shipped out.

Our processing time before an order ships is 3-5 days, excluding weekends.

We will email you a confirmation once it ships and that will include tracking information as well.

If you have any questions in the meantime, please don't hesitate to reach out. In the meantime, you can also access our Scentiment Help Center if you need additional assistance.

Sincerely, %Agent First Name%Scentiment Customer Support","refund-stuck-in-preshipment","","","","","","","All Brands","Everyone","System"
"ORDER ISSUE: OOS Candle convert to Store Credit","SCENTIMENT: Regarding your unfulfilled item...","Hello ​​%First Name%​​

We hope you're well! We are reaching out to you regarding the unfulfilled order you recently placed with us. 

Unfortunately, this variant of our candle is currently out of stock. We're really sorry for any inconvenience this may cause. We're working hard to restock it, but we don't have a fixed date yet.

Here are your options:

Wait for Restock: You can keep your order as is, and we'll ship the item to you as soon as it's back in stock. We can't give you an exact date, but we'll do our best to get it to you ASAP.

Convert to Store Credit: If you'd rather not wait, we can turn the value of the out-of-stock item into store credit. You can use this credit on your next purchase with us anytime. It is also transferrable, so you can pass it on to a friend or family. 

Swap for another variant: You can choose between Fresh Rain or Minuit a Paris.

Let me know how you wish to proceed. Thanks a lot!

All the best, 

​​%Agent First Name%​​

Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"ORDER ISSUE: OOS room spray convert to Store Credit","SCENTIMENT: Regarding your unfulfilled item...","Hello ​​%First Name%​​

We hope you're well! We are reaching out to you regarding your order that has unfulfilled items.

Unfortunately, the variant you have selected for our room spray is currently out of stock. We're really sorry for any inconvenience this may cause. We're working hard to restock it, but we don't have a fixed date yet.

Here are your options:

Wait for Restock: You can keep your order as is, and we'll ship the item to you as soon as it's back in stock. We can't give you an exact date, but we'll do our best to get it to you ASAP.

Convert to Store Credit: If you'd rather not wait, we can turn the value of the out-of-stock item into store credit. You can use this credit on your next purchase with us anytime. It is also transferrable, so you can pass it on to a friend or family. 

Swap for another variant: Here are the choices you can choose from: The One, Day Dream or Ocean Breeze. 

Let me know how you wish to proceed. Thanks a lot!

All the best, 

​​%Agent First Name%​​

Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"ORDER ISSUE: Order Delay: All Diffusers (Still backlogged 1st response)","","Hello ​​%First Name%​​,

Thank you for following up! 

We are still a bit backlogged due to a recent surge in demand. We are expecting to ship your order between October 17 - October 20, although it may certainly be sooner. 

We're so sorry for the continued delay, but we are working to get this out to you as soon as possible. 

Please let me know if you need any additional assistance. I'm always happy to help. 

Sincerely,

​​%Agent First Name%​​

Scentiment Customer Support","refund-shipping-delay","","","","","","","All Brands","Everyone","System"
"ORDER ISSUE: Still Backlogged (2nd Response: Upset Customer)","","Hello ​​%First Name%​​,

Thank you for following up, and I'm so sorry for the continued delay. Rest assured, we are working tirelessly to get all orders out as soon as possible. I have added your order to our priority list and am hoping we can get this to you by the (INSERT DATE) deadline. 

Again, I'm so sorry for this delay and any inconvenience this may have caused.

Sincerely,

​​%Agent First Name%​​

Scentiment Customer Support","refund-shipping-delay","","","","","","","All Brands","Everyone","System"
"ORDER ISSUE : Damaged in Transit: STEP 1: Photo Request","","Hello ​​%First Name%​​,

Thank you for reaching out, and we're so sorry to hear your order arrived damaged.  As we try our best to provide exceptional service, some factors like shipping and handling are outside of our control, and issues like this can happen.

Can you please send us a photo of the broken/damaged item(s) you received and we'll do our best to resolve this as soon as possible.

Looking forward to hearing back! 

Sincerely,

​​%Agent First Name%​​","refund-damaged-product","","","","","","","All Brands","Everyone","System"
"SOCIAL MEDIA: Safe for Pets?","","All of our fragrance oils are safe to use around people, pets, plants, and furniture. 100% free of all Parabens, Formaldehyde, Color Additives, Synthetic Dyes, and Preservatives.","","","","","","","","All Brands","Everyone","System"
"TROUBLESHOOTING: Standard Diffuser V1: Loud noise/ Unusual Sound","","Hello %First Name%,

We apologize for the inconvenience you are experiencing with your diffuser. Please follow the troubleshooting steps to resolve this issue.

If the issue is not resolved, your diffuser is under warranty, and you've already completed the troubleshooting steps and submitted your video, we'll provide you with a link to initiate your warranty replacement.

If you have any further questions, don't hesitate to reply and we're happy to help! You can also visit our Scentiment Help Center for additional support.

Regards,%Agent First Name%Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"ORDERS: Cancel & Refund Last Order","","Hello %First Name%,

Thank you so much for reaching out! I am happy to help.

I was able to get your order cancelled and created a refund request for your order %Order Name% and it should be processed within 24 to 72 business hours. Once the refund is released, please allow 3-5 business days for you to receive the funds back depending on your bank's processing timeframe. You'll receive an email with your refund details as well.

Reimbursement of funds will be allocated back to the original form of payment used for purchase.

Let me know if you need any additional assistance. You can also access our Help Center here: Scentiment Help Center if you need additional assistance.

Thank you!

Sincerely, %Agent First Name%Scentiment Customer Support","order-cancellation-request","","","","","","","All Brands","Everyone","System"
"ORDERS: Full refund last order","","Hello %First Name%,

Hope all is well!

I have created a full refund request for your last order %Order Name% and it should be processed within 24 to 72 business hours. Once the refund is released, please allow 3-5 business days for you to receive the funds back depending on your bank's processing timeframe. You'll receive an email with your refund details as well.

Reimbursement of funds will be allocated back to the original form of payment used for purchase.

Please let me know if you need any additional assistance. You can access our Help Center here: Scentiment Help Center if you need additional assistance.

Thank you.

Sincerely, %Agent First Name%

Scentiment Customer Support","refund-order-adjustment","","","","","","","All Brands","Everyone","System"
"Troubleshooting: Mini V1: No power/ Not turning on","","Hello %First Name%,

I'm so sorry to hear your diffuser may have a power issue. Here is a comprehensive video: on how to make sure your diffuser is connected.If there is still no power to your diffuser, do you happen to have an extra USB-C cable around your home? If so, can you try using that to plug to follow the comprehensive video.

If your diffuser is still not turning on or has no power, we're here to help!Please follow our troubleshooting steps to see if the issue can be resolved. If the problem persists, kindly submit a video showing the issue so we can better assist you.If your diffuser is still under warranty and the troubleshooting steps don't resolve the issue, we'll provide you with a link to initiate your warranty replacement.

Let us know if you have any questions and we're happy to assist!

Regards,%Agent First Name%Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
